month, date, year, reviewid, reviewerid, productid, rating1, rating2, rating3, rating4, review, label
9,22,2012,GtwU21YOQn-wf4vWRUIx6w,bNYesZ944s6IJVowOnB0iA,pbEiXam9YJL3neCYHGwLUA,0,0,0,5,Unlike Next which wed eaten at the previous night where each dish is completely recognizable but notable for being the best possible incarnation of itself Alinea delivers a meal created by Willy Wonka with all the rules thrown out the window I wont recount every course just highlight the dishes that made me laugh or let me know this was a restaurant like no other a place where there were no rules that had to be followed a sanctuary which allowed a chef freedom to go wherever imagination led For example while the beverage choices were explained six bowls containing blocks of ice resting on beds of pebbles were placed on the table without a word being said about what they were for Each block had a hole drilled in the center and once wed made our decisions about what wed be drinking servers then came to the table with glass straws filled with steelhead roe in a liquid and stoppered at either end with foam We were instructed to take our straws fit them into the perfectly sized hole now filled with ice melt and inhale the mixture in a single slurp as quickly and as loudly as we could The frigid rush of roe and herbs and peach Im unsure whether that fruit flavor came from the straw or the melt was sweet and salty and made us giggle a perfect start to the most unusual meal of my life For Lamb 86 we were each presented with a narrow plate containing three perfect pieces of lamb each prepared in a different manner and two plexiglas shields were placed in the center of the table each with 86 different garnishes none of them identified but all we were promised fitting accompaniments to the lamb I cut the three tender servings into three smaller pieces so I could experience more of the flavor combinations and the table turned into a guessing game as we each plucked the sides that tempted us and tried to identify what wed chosen Not every course was as unusual in its presentation as that Some courses astonished with their perfection alone Hot Potato Cold Potato which we were told was one of the oldest courses that still remained on the Alinea menu consisted of a paraffin bowl filled with cold potato soup while a hot potato and a piece of truffle were held aloft by a skewer which went through the lip of the bowl We were to pull the pin and the moment the two ingredients met we were to toss it back so the soup had no time to warm the potato no time to chill and the two flavors and temperatures only came together on the tongue Then there was the Black Truffle Explosion which was served on a spoon and to be chewed with closed lips so none of the delectable juice escaped These awed not by the science fictional nature of their presentations but from the precise combination of their ingredients eaten at exactly the right moment One course that makes clear why a dish must be eaten when served is the green apple helium balloon which if not ingested upon delivery would I fear end up collapsing upon itself before eaten The skin of the balloon as well as the string with which we held it were both made of apply taffy and we were told to press our lips against the balloon take a bite and inhale My mouth filled immediately with the intense flavor of apple--and with helium as well of course--so we were all soon talking about how amazing it tasted while sounding like Mickey and Minnie Mouse For our final course the table was cleared and we were asked to lift our glasses as a silicone covering was rolled out Servers then brought many small bowls two metal jugs sweating with condensation and three white globes with circular holes in their tops Then two chefs arrived and began spooning out the contents of the bowls onto the table scattering them like culinary Jackson Pollacks as they identified each--freeze-dried strawberry English pea buttermilk cream and so on Then the chefs each lifted a jug and announced liquid nitrogen and poured the contents into the white globes which caused a fog to rise and cover the table Finally the chefs lifted the globes which were made of white chocolate and smashed them upon the table revealing the goodies within--meringues cotton candy miniature jelly donuts condensed honeydew melon and more After which we took our spoons and attacked not making as much of a dent as the creation deserved At meals end we stepped out of the restaurant  four hours and thirty-nine minutes after we had arrived Yes The meal took four hours and thirty-nine minutes But I assure you that it did not feel as if that much time had passed because  oh Im going to go into cliche mode now but you know how its sometimes said that time stood still? Well time didnt stand still per se but  lets just say that while we were in Alinea it didnt exist We were outside of time in a pocket universe all to ourselves,N
9,22,2012,0LpVTc3,TRKxLC3y-ZvP45e5iilMtw,pbEiXam9YJL3neCYHGwLUA,0,0,0,5,Probably one of the best meals Ive had ever Its a performance of what food can be Having Grant Achatz prepare our dessert was amazing and getting a tour of the kitchen and prep areas downstairs by him personally was even better Be prepared for an evening and come prepared to sit for a least 4 hours or more One word to describe it = Awesome,N
9,19,2012,tljtLzf68Fkwf,0EMm8umAqXZzyhxNpL4M9g,pbEiXam9YJL3neCYHGwLUA,0,0,2,3,Service was impeccable Experience and presentation was cool Eating a balloon was fun Trying to make a reservation was ridiculous Food was not mouth watering tasted like it it was made in a lab I appreciate delicious food so I dont get the hype here,N
9,6,2012,iSN,DlwexC7z88ymAzu45skODw,pbEiXam9YJL3neCYHGwLUA,3,0,8,3,The problem with places like this given the exhorbitant cost media attention and stellar reviews is that the bar is set so high its nearly impossible to meet those expectations To set expectations the meal including wine pairing totaled 564 per person in our party of 6 Now Im no stranger to spending a lot on fine dining- The French Laundry Benu Daniel Cyrus and the Bazaar were all extravagant and decadent dining experiences Ive been fortunate to enough to try I felt each of them offered something in the way of transcendent flavors over the top service andor that little something extra to justify the value proposition All in all I felt Alinea failed to provide that value Were the dishes innovative and unique? Yes Was presentation whimsical playful and imaginative? Yes Was service attentive and informed? Yes However was the experience as a whole better than others in this class? No Was it worth it? NO Maybe this comes down to personal preference Im more a fan of precise classic plating techniques over the Jackson Pollock style presentation I found on most of the dishes here Dessert was SPOILER ALERT served by Grant Achatz himself LITERALLY shattering a filled white chocolate egg all over our nicely prepared table We were then given spoons I also had issue with the distinct lack of traditional luxury ingredients I understand the idea behind creative and non-traditional use of ingredients But for my money Id rather have a nice scoop of caviar rather than a crazy what-am-I-eating composition of discarded corn products corn silk corn smut [huitlacoche] and corn husk Indeed the waiter rather cheerfuly informed us that yes in fact we were eating trash The myriad rules and regulations were also off-putting Buy your ticket online Wear a jacket Show up 30 minutes prior to your reservation Eat this dish in 5 seconds before it decomposes in your hands Despite the whimsy of the dishes I felt that the place the whole experience simply took itself too seriously In the end Alinea will be a once in a lifetime experience for me because I simply cant justify going back,N
9,9,2012,Jmwrh7,kW2dk1CWihmh3g7k9N2G8A,pbEiXam9YJL3neCYHGwLUA,0,2,1,5,I have no idea how to write my review - dining at Alinea brings a whole different perspective to food life and Chicago I think everyone has a unique experience with the food - ingredients and presentation - but two things Ill highlight about my personal experience are 1 This was an amazingly vegetarian friendly place for the experience After youve bought a ticket theyll call to ask a few days ahead of the reservation about any dietary restrictions and thats when they record vegetarian I didnt feel that we missed out on even an ounce of the experience that non-vegetarians have in fact I admire the kitchens ability to do such a great job with it 2 this place is very unique and of course expensive but not a single staff member here was pretentious or stiff - they took a lot of pride in what they do but in a natural friendly way the American way as my dining partner put it You can be comfortable natural and just enjoy,N
8,30,2012,lKlceLWoePzeuvFD3sj4mw,HxXEcMDDTJFUqVfhPF9M8Q,pbEiXam9YJL3neCYHGwLUA,1,1,3,5,Despite the first-world tragedy I endured in an effort to get reservations see my first review for details I did miraculously manage to secure a table for my party of four The short version It was whimsical It was innovative It was the best meal of my life The long version There is a moment of anxiety and excitement before dining at Alinea Youve heard the stories or maybe youve read up on molecular gastronomy Then you arrive and the doorman gestures toward a dark Willy Wonka-esque hallway that gets more narrow with each step You think youve hit a dead end when seemingly out of nowhere a door slides gracefully open As you gaze upon the hosts smiling face you realize that moment outside wasnt a moment after all This feeling is going to last as long as your dining experience does And so it begins Each course will come out meticulously plated with an experienced and friendly waiter right beside you explaining how to eat whats been set forth in front of you Without giving away too many specifics of the ever-changing menu I will say youre likely to find yourself sucking up one course through a test tube kissing another eating one course without any hands and another directly off the table Intrigued? Then Ill continue Should you choose to do wine pairings with each course which I strongly recommend the sommelier will pour you a smorgasbord of varietals including a few youve probably never heard of before ie Zibibbo With each pour there will be an accompanying story about where the wine came from and why the flavors within make it the perfect pairing Overall Grant Achatzs progressive style of cuisine is pure genius and the experience is joyous and genuinely enchanting For better or worse I guarantee you will leave with a new perspective on the unbounded future of the culinary arts I hope to someday return to Chicago and do it all over again Counsel Like Alineas Facebook page for up-to-date information on when new reservations will be released same-day dining options and upcoming projects such as their forthcoming collaboration with New Yorks Eleven Madison Park,N
9,8,2012,PBS2uyee9V5IpFfTropxbw,OW2H-GkKnlVEBPuGHIaiFg,pbEiXam9YJL3neCYHGwLUA,0,0,1,5,Overall was it worth the hype? Yes and more Was it worth every penny? Hell yes Is it a life changing food experience? Yes Will I be coming back? You bet Soon? Probably not it definitely broke the bank and Id also like to see a different menu Truly 5-star experience I was able to snag a 2-top ticket from their new ticketing system which isnt hard to obtain as long as you follow them on Facebook or twitter and you check fairly regularly The meal at the end of the day ran me nearly 1000 which I will say without hesitation was the best 1000 Ive ever spent Everything from the food wine pairing service sort of atmosphere was everything you paid for and more They only have a prix-fixe menu of 15-17 items mostly all of them were excellent They all emphasized the pure flavors of the ingredients such as the corn as well as the tomato both fantastic and one our favorites Other courses emphasized the subtleties and complementary flavors such as the chanterelle probably our favorite of the evening Other items were shock and awe like the lamb with 52 different complementary ingredients which was fun and interactive good but by far not the best dish and the apple balloon with edible string by far the most fun dish Other courses emphasized a whole new experience like the black truffle explosion and the white chocolate dessert made table-side by the chef Even after 2-plus weeks after eating there there were a lot of items that I still remember every aspect this was truly a life-changing meal Other aspects of the restaurant like the decor itself was nice and dimly lit The service overall was flawless but some of the staff was not very friendly and a little stuck-up Our main server however was fairly interactive and friendly The kitchen tour was amazing as well spotless and got a chance to do one of our courses prepared on the spot Though we did not get to meet Chef Achatz his current chef there was friendly articulate and still producing magnificent food I would certainly like to see him open his own restaurant in the future If you made it this far in my review and probably others just do yourself a favor and just grab a ticket and a date and eat here You wont regret it One additional note here After eating at Charlie Trotters about a month before and paying nearly 500 per person with wine Trotters didnt come anywhere near to what Alinea produced in terms of experience and food Although the wine pairings there were superior,N
8,24,2012,PkwbB,BSh3h1J4mdSmEsb8FFdf0Q,pbEiXam9YJL3neCYHGwLUA,0,0,8,3,There are already TONS of professional  amateur reviews of Alinea you can read through them if you want to get into the details Ill spend my time here throwing out some general impressions in no particular order Enjoy - Book buy tickets way way way in advance This place is booked for at least two months out - Mental prep - dont over-hype this place before your first visit Like most other fine dining restaurants this place is very very good However if you keep thinking this is supposed to be the 1 rated restaurant in the US youre likely to leave disappointed like my wife and I - Dinner for the 6 of us took over 6 hours to complete Make sure you go with fun good company Even for couplesits hard to have a 3-hour dinner togetherwe saw many bored couples that didnt talk - Dress nice Real nice nuff said - Dont go cheap here If you are already spending this much on dinner might as well get the wine pairing if you like to drink different kinds of wine Or if youre like us and dont drink that much just get a bottle Expect to spend about 800 - 1000 for two people - The food profiles are innovative and presentation was visually stunning It takes a true genise to come up with each course However my wife and I were only knock our socks off wowed by just a few courses We particularly liked the razor clams crab and mushrooms served on heated stones - Service - its nice but less formal  attentive than what I would expect at a place like this Not that we enjoy a place that is super formal and stuffy but it felt a bit too casual for us - We also would have appreciated a bit more explanation of what we are eating before each course Our waiter just didnt know or wanted to spend the time to explain In fact it was a bit annoying that he wants us to guess what we were eating Really annoying now that I think about it again We paid good money to eat there show an effort to explain things - Just to be clear none of the courses tasted bad We were just looking to be wowed by each courseand it didnt happen - Dessert - while seeing them prepare it in front of us was cool it really wasnt that complex and the taste was a bit disappointing - Valet - its only 11 do it Its a nice touch that they already have the car pulled up front waiting for you by the time you walk out the door,N
8,22,2012,MRdliMXsmP1ViLjA5oCO,F3mbveXX30Ou0gpDY6IrCQ,pbEiXam9YJL3neCYHGwLUA,3,7,3,5,Your life is a countdown ever since youre born This is your life and its ending one minute at a time Its just money charge it or sell a kidney or forgo college You surely have four hours to spare Con your old-guard boss with aviator glasses in a polyester suit to let you off an hour or two early Everyone has defining moments in their lives Birthdays Trips Graduations Weddings Births Deaths Break-ups We all have things that help shape who we are as an individual We all have experiences that are out of this world and make you sit back and just think Alinea is one of those experiences But its so powerful because it evokes those of your past basically everything or at least a lot and brings it to the present I recalled memories of my childhood in Antioch Illinois at my grandmothers cottage I recalled summers and late nights at my childhood home I recalled a trip up the coast of California I did with my family in 2003 I recalled cakes and desserts I ate as a kid I recalled previous meals and dining experiences I was so pleasantly delighted I wasnt overwhelmed although I could see why you would be I laughed I smiled I got a little nervous I dont want to elaborate too much on courses atmosphere or service except for to say that its all essentially perfect You will not love every course but most will stand out to you Classics like hot potato cold potato and black truffle explosion will surely stand out and seasonal touches like the tomato dish will certainly be a highlight There might be one you dont like I didnt like the fishbowl course But I wouldnt change it because it reminded me one time of eating a hot dog as a kid and hating it little did I know Id go on to consume ten thousand hot dogs at Hot Dougs about 15 years later All I have to say of the atmosphereI was freaked out delighted oh and surprised by the entryway Amuse-bouche included The waitstaff is friendly unpretentious helpful funny and all around amazing Youll laugh with them theyll joke theyll instruct you theyll help you determine wines or beverages and if youre lucky theyll take you to the kitchen afterwords The essence of Alinea and the finale is the dessert Do not ignore Pay attention If youre lucky I was Chef Achatz will prepare it for you himself I feel ridiculous for ever saying anything was 1 in the past This fucks everything up this defines everything breaks rules sets new standards and all around marks a time in history in your life The aftermath will overwhelm and delight you and make you speechless This is a metaphorical acid trip This is what living is This is Alinea Ill probably never sit on the hallway of my condo building floor and purchase tickets for a restaurant again I love you Alinea I really really do You are a part of me forever,N
8,23,2012,z-j4X,NvSnBp4fTpNOfDwm2GWusA,pbEiXam9YJL3neCYHGwLUA,0,0,3,5,Lots of complaints about how difficult it is to get in and I get it its hard But I can promise you that it is worth it This is dining as performance art And that is not to say that the food takes a backseat to the show The theatricality of the presentations perfectly honors the beauty of the meal To go over the details would be to give away too many surprises but we had a fantastic time You are treated like a VIP from the moment you walk up to the unmarked door But this VIP treatment also has a wonderful comfortableness about it It doesnt feel stuffy We ended up chatting with the table next to us because it was just too fun You get the sense that they are encouraging the playfulness to go along with the fun they obviously had coming up with the amazing experience Do whatever you have to to get in here Its a meal and and experience that you wont soon forget,N
